global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,flightroom_071353_q00,green_clock,green clock,32.96736924326883,269,1,1,0.2827664198752394,0,0,goal_reached
2,0,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-36.00733579799102,217,0,0,0.37112661864168683,0,1,collision
3,0,flightroom_071353_q01,green_clock,green clock,21.58479760980667,497,1,1,0.4004877421530852,0,0,goal_reached
4,0,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,33.10964291787006,306,1,1,0.4481034746057807,0,0,goal_reached
5,1,flightroom_071353_q01,green_clock,green clock,26.631407922945353,319,1,1,0.23708729828421118,0,0,goal_reached
6,1,flightroom_071353_q00,green_clock,green clock,32.71631138522359,263,1,1,0.3526315216862624,0,0,goal_reached
7,1,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.16866516649284,297,1,1,0.4450249662182207,0,0,goal_reached
8,1,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.232848015981535,182,1,1,0.40063999391630256,0,0,goal_reached
9,2,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.245302938308207,225,1,1,0.2727181668258945,0,0,goal_reached
10,2,flightroom_071353_q01,green_clock,green clock,25.053981381270535,379,1,1,0.2564974404877307,0,0,goal_reached
11,2,flightroom_071353_q00,green_clock,green clock,31.677065470784402,250,1,1,0.4279346904585428,0,0,goal_reached
12,2,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.68399236296537,268,1,1,0.45295316681493847,0,0,goal_reached
13,3,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-36.1833800342702,218,0,0,0.3475117029731867,0,1,collision
14,3,flightroom_071353_q00,green_clock,green clock,31.590915875897785,249,1,1,0.44774902372589603,0,0,goal_reached
15,3,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.541403200244453,268,1,1,0.4613877852337863,0,0,goal_reached
16,3,flightroom_071353_q01,green_clock,green clock,22.024901438815867,512,1,1,0.2651903868743506,0,0,goal_reached
17,4,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-35.687767281784865,220,0,0,0.3145088142840967,0,1,collision
