iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,sac,12.913618493238635,322.25,0.75,0.9248144030570984,,,,4.58566951751709,0.19953200221061707,0.1435115784406662,0.10000000149011612
1,sac,27.43730812266083,265.25,1.0,1.0382887125015259,,,,4.717766761779785,0.16713055968284607,0.1696772575378418,0.10000000149011612
2,sac,26.16508553833213,280.5,1.0,0.988071084022522,,,,4.64108943939209,0.2823459506034851,0.253325879573822,0.10000000149011612
3,sac,11.993460120171976,311.75,0.75,0.895477294921875,,,,4.664702415466309,0.02404097095131874,0.026101015508174896,0.10000000149011612
4,sac,12.798858758895108,287.75,0.75,0.8248486518859863,,,,3.6313223838806152,0.2466326206922531,0.24181395769119263,0.10000000149011612
5,sac,5.737024811703366,353.5,0.5,0.8977799415588379,,,,4.798316955566406,9.587504386901855,9.53564167022705,0.10000000149011612
6,sac,11.400792299990131,229.5,0.75,0.9029076099395752,,,,3.561957836151123,0.1401749700307846,0.137534499168396,0.10000000149011612
7,sac,-3.4978842463792015,206.5,0.5,0.8992835283279419,,,,3.737492084503174,0.024970632046461105,0.02662844955921173,0.10000000149011612
8,sac,10.589457014534837,211.5,0.75,0.9235515594482422,,,,3.025679588317871,9.468992233276367,9.429767608642578,0.10000000149011612
9,sac,12.8153484441813,228.75,0.75,0.9555358290672302,,,,3.84171199798584,0.028622744604945183,0.02728811465203762,0.10000000149011612
10,sac,14.047276685928656,261.5,0.75,0.9285017848014832,,,,3.723313331604004,0.0341167226433754,0.03207022696733475,0.10000000149011612
11,sac,12.595538235921486,311.0,0.75,0.8533259630203247,,,,3.314268112182617,0.2445407509803772,0.2386443018913269,0.10000000149011612
12,sac,13.241504733594311,358.0,0.75,0.8383215069770813,,,,3.941499948501587,0.1377728283405304,0.13461321592330933,0.10000000149011612
13,sac,13.469201703815582,306.25,0.75,0.8463592529296875,,,,3.846585512161255,0.24866370856761932,0.2478621006011963,0.10000000149011612
14,sac,6.108126559112941,363.0,0.5,0.8860399723052979,,,,3.357495069503784,0.04424160346388817,0.04213322699069977,0.10000000149011612
15,sac,17.417046957272515,354.0,0.75,0.9501913785934448,,,,4.382357597351074,0.03357190638780594,0.03069349378347397,0.10000000149011612
16,sac,25.32700905299653,353.75,1.0,0.9696469902992249,,,,4.383835792541504,0.030036918818950653,0.029394792392849922,0.10000000149011612
17,sac,26.648598701161497,263.75,1.0,1.0481057167053223,,,,4.573609828948975,9.401161193847656,9.426311492919922,0.10000000149011612
18,sac,20.292784904212162,361.5,0.75,0.98213130235672,,,,3.882641077041626,0.1914946585893631,0.18290001153945923,0.10000000149011612
19,sac,27.654658184202027,304.0,1.0,0.8983125686645508,,,,4.093771934509277,0.03492673113942146,0.03705403953790665,0.10000000149011612
