iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha,bc_mse
53,sac,-502.88103698080045,363.75,0.75,0.0,,,,0.0,8.294352531433105,8.5736722946167,0.0,0.0
54,sac,1.6939471620532105,388.25,0.5,0.0,,,,0.0,0.46468809247016907,0.5393607020378113,0.0,0.0
55,sac,0.3052381288841568,376.5,0.5,0.0,,,,0.0,0.5935291051864624,0.6463497877120972,0.0,0.0
56,sac,-441.2048402050996,247.25,0.25,0.0,,,,0.0,0.513669490814209,0.5947011113166809,0.0,0.0
57,sac,-8.183027809626289,532.0,0.25,0.0,,,,0.0,0.7504599690437317,0.821942925453186,0.0,0.0
58,sac,6.763592627644542,265.25,0.75,0.0,,,,0.0,1.9161180257797241,1.994937539100647,0.0,0.0
59,sac,-2.1276140956961314,245.0,0.75,0.0,,,,0.0,1.7722828388214111,1.8597830533981323,0.0,0.0
60,sac,-6.900083038905088,525.25,0.25,0.0,,,,0.0,1.5877588987350464,1.6260366439819336,0.0,0.0
61,sac,2.723104000876046,407.25,0.5,0.0,,,,0.0,0.30707478523254395,0.34419485926628113,0.0,0.0
62,sac,10.793569839395158,378.5,0.75,2.479175567626953,,,,0.0,7.379127502441406,7.302495002746582,0.0,0.0264156274497509
63,sac,-14.616932439304934,376.75,0.25,2.515751600265503,,,,0.0,0.6473644971847534,0.655056357383728,0.0,0.033268824219703674
64,sac,-7.7163112119871755,484.75,0.5,2.519740104675293,,,,0.0,8.800792694091797,8.973315238952637,0.0,0.033876560628414154
65,sac,-7.3421749238193215,390.0,0.25,2.52488374710083,,,,0.0,0.11599729210138321,0.11547499150037766,0.0,0.03451279550790787
66,sac,10.900200958347217,283.0,0.75,2.50061297416687,,,,0.0,1.504077672958374,1.5158168077468872,0.0,0.03835038095712662
67,sac,-18.690047353410407,493.25,0.25,2.5080618858337402,,,,0.0,0.056851085275411606,0.059536583721637726,0.0,0.04839782416820526
68,sac,-835.252930078468,539.5,0.25,2.544278860092163,,,,0.0,0.37135347723960876,0.3994782269001007,0.0,0.05284220352768898
69,sac,-10.031058128631535,521.25,0.25,2.5436532497406006,,,,0.0,0.24364157021045685,0.2767014503479004,0.0,0.05647551640868187
70,sac,2.5588164870192935,330.5,0.75,2.5514721870422363,,,,0.0,0.2994650900363922,0.2787545919418335,0.0,0.06191857159137726
71,sac,-1.5459846145636993,537.25,0.5,2.554269790649414,,,,0.0,0.38946133852005005,0.4326884150505066,0.0,0.058852944523096085
72,sac,-513.3176687037825,392.5,0.25,2.550032138824463,,,,0.0,0.5185270309448242,0.6242873072624207,0.0,0.06057776138186455
73,sac,11.850472339790542,156.0,1.0,2.5295517444610596,,,,0.0,0.5276069045066833,0.6157159209251404,0.0,0.061675287783145905
