iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,ppo,10.16129366312294,303.75,0.75,0.12225434631109237,17.419276332855226,-4.314540457725525,5.823675334453583,5.89273818731308,,,
1,ppo,17.721227711740877,348.75,0.75,0.17881156131625175,3.139936047295729,-4.292862077554067,6.08109724521637,6.284532467524211,,,
2,ppo,17.217695179998152,318.25,1.0,0.2504134468734264,1.5719005927443503,-4.266356897354126,9.827970218658447,9.427290272712707,,,
3,ppo,17.30504026497684,196.5,1.0,0.25635893922299147,1.1651533152908087,-4.2457398772239685,9.326432347297668,10.588844984769821,,,
4,ppo,20.56964154252283,217.5,1.0,0.2699630167335272,0.6755702961236238,-4.223089516162872,7.897848308086395,8.280307710170746,,,
5,ppo,-8.066525433470423,195.75,0.5,0.1473491328943055,52.7120296433568,-4.201956212520599,10.644183784723282,13.12045231461525,,,
6,ppo,21.381231899956937,194.0,1.0,0.284512753598392,1.323548287153244,-4.187052011489868,10.312905550003052,10.674865663051605,,,
7,ppo,8.532161602743123,314.5,0.75,0.15336521863937377,3.77813001871109,-4.168095088005066,8.63652799129486,8.974694418907166,,,
8,ppo,24.014427808126303,293.75,1.0,0.23880683705210687,0.7947327703237533,-4.14201591014862,9.661750531196594,9.209325551986694,,,
9,ppo,16.970049868160363,215.5,1.0,0.2579972995445132,1.0913073755800724,-4.117090702056885,14.154768228530884,14.683353960514069,,,
10,ppo,3.8186053317408355,196.75,0.75,0.12880925623176154,19.3123694434762,-4.093546241521835,14.845089197158813,23.366525411605835,,,
11,ppo,19.76181436222914,230.5,1.0,0.26091625168919563,0.542051438242197,-4.069829493761063,12.50875735282898,10.325875341892242,,,
