global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,flightroom_071353_q00,green_clock,green clock,32.96736924326883,269,1,1,0.2827664198752394,0,0,goal_reached
2,0,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-36.00733579799102,217,0,0,0.37112661864168683,0,1,collision
3,0,flightroom_071353_q01,green_clock,green clock,21.58479760980667,497,1,1,0.4004877421530852,0,0,goal_reached
4,0,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,22.100343597407285,232,1,1,0.42585142534548237,0,0,goal_reached
5,1,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.88856490733316,180,1,1,0.42914921678675905,0,0,goal_reached
6,1,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.75151230740613,272,1,1,0.49638771439978135,0,0,goal_reached
7,1,flightroom_071353_q00,green_clock,green clock,33.06832407225564,273,1,1,0.3117994598704454,0,0,goal_reached
8,1,flightroom_071353_q01,green_clock,green clock,-10.823490440031422,670,0,0,0.8769815517631488,0,0,timeout
9,2,flightroom_071353_q01,green_clock,green clock,8.857818310735558,662,1,1,0.14826982965018565,0,0,goal_reached
10,2,flightroom_071353_q00,green_clock,green clock,33.58955572167345,273,1,1,0.3102127972760414,0,0,goal_reached
11,2,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,11.162382133627373,194,1,1,0.2659169600533756,0,0,goal_reached
12,2,flightroom_071353_q02,green_clock,green clock,15.26102455395622,144,1,1,0.42127774066467494,0,0,goal_reached
13,3,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,14.091472623701419,243,1,1,0.2857907869167879,0,0,goal_reached
14,3,flightroom_071353_q03,green_clock,green clock,16.69913789006867,138,1,1,0.32362505382559337,0,0,goal_reached
15,3,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.448375752353503,226,1,1,0.2109695496768405,0,0,goal_reached
16,3,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.981174793783758,179,1,1,0.4610219200542173,0,0,goal_reached
17,4,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,35.21992821980134,357,1,1,0.4564762300576074,0,0,goal_reached
