iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,sac,13.719305407011298,288.25,0.75,0.9035054445266724,,,,5.121696472167969,9.82137393951416,9.717206001281738,0.10000000149011612
1,sac,17.30418057797056,353.25,0.75,1.0212481021881104,,,,5.948630332946777,0.038492925465106964,0.03291331231594086,0.10000000149011612
2,sac,24.168051631829933,290.25,1.0,0.9937275052070618,,,,5.157330513000488,0.17444299161434174,0.15077811479568481,0.10000000149011612
3,sac,19.375697459519536,350.75,0.75,0.890224814414978,,,,5.138099670410156,0.14714936912059784,0.13733072578907013,0.10000000149011612
4,sac,27.45115402328298,290.75,1.0,0.847631573677063,,,,5.240739822387695,0.14100037515163422,0.13144390285015106,0.10000000149011612
5,sac,28.605445556823007,295.25,1.0,0.8183169960975647,,,,4.674672603607178,0.1468062698841095,0.14628097414970398,0.10000000149011612
6,sac,12.660559958790174,256.75,0.75,0.8380876183509827,,,,4.557337760925293,0.24674752354621887,0.23878780007362366,0.10000000149011612
7,sac,6.625779471013654,363.25,0.5,0.8727893829345703,,,,4.373337268829346,0.03536750003695488,0.03648224472999573,0.10000000149011612
8,sac,15.515620888256365,299.5,0.75,0.9279762506484985,,,,5.2208051681518555,10.973503112792969,10.855219841003418,0.10000000149011612
9,sac,27.758371932252743,284.0,1.0,0.9072905778884888,,,,3.4875030517578125,0.03227563947439194,0.032662875950336456,0.10000000149011612
10,sac,26.12632977685074,315.75,1.0,0.8705610632896423,,,,4.525824546813965,0.030450858175754547,0.029421234503388405,0.10000000149011612
11,sac,27.52035165816091,280.25,1.0,0.8338927626609802,,,,3.4091453552246094,0.029283789917826653,0.03211480379104614,0.10000000149011612
12,sac,11.111811870924434,222.75,0.75,0.8180788159370422,,,,3.88093900680542,0.14309558272361755,0.14110231399536133,0.10000000149011612
13,sac,11.030811463555757,225.0,0.75,0.836563766002655,,,,3.620234966278076,9.656188011169434,9.618205070495605,0.10000000149011612
14,sac,12.844803308494248,316.0,0.75,0.8826221823692322,,,,3.4572107791900635,0.03166015446186066,0.03097533993422985,0.10000000149011612
15,sac,5.924032191161501,359.0,0.5,0.8604874610900879,,,,3.414165496826172,0.029297880828380585,0.03150799870491028,0.10000000149011612
16,sac,26.982391779771056,265.0,1.0,0.8505938053131104,,,,3.5783329010009766,0.02575179748237133,0.028466926887631416,0.10000000149011612
17,sac,12.647729518332593,321.75,0.75,0.8614481687545776,,,,3.3929617404937744,1.5112061500549316,1.5118887424468994,0.10000000149011612
18,sac,27.344041766190493,336.0,1.0,0.866401731967926,,,,3.7571635246276855,0.03229205682873726,0.031434930860996246,0.10000000149011612
19,sac,27.224464182547695,267.5,1.0,0.8481003046035767,,,,4.12141227722168,9.484451293945312,9.496182441711426,0.10000000149011612
