iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,sac,20.435267771955516,226.25,1.0,1.0538383722305298,,,,5.968708515167236,0.15847131609916687,0.15899161994457245,0.10000000149011612
1,sac,-13.853127396303355,300.25,0.5,1.0148777961730957,,,,8.680517196655273,0.2751563787460327,0.2625594139099121,0.10000000149011612
2,sac,13.934336716735613,253.25,1.0,1.020513892173767,,,,8.705656051635742,9.555684089660645,9.524436950683594,0.10000000149011612
3,sac,20.381334279103516,218.5,1.0,0.9625522494316101,,,,6.3243560791015625,0.4790703058242798,0.4725129008293152,0.10000000149011612
4,sac,3.2825251054037135,409.5,0.5,0.9727747440338135,,,,7.469745635986328,0.13167165219783783,0.13116438686847687,0.10000000149011612
5,sac,0.15881802332622552,442.25,0.5,0.955106258392334,,,,5.6028008460998535,1.667779803276062,1.6639525890350342,0.10000000149011612
6,sac,20.525627757259947,228.0,1.0,0.9455346465110779,,,,4.800865173339844,0.022391004487872124,0.023598957806825638,0.10000000149011612
7,sac,21.854551572883466,206.5,1.0,0.9423114061355591,,,,5.0492048263549805,0.024613887071609497,0.02335682325065136,0.10000000149011612
8,sac,19.778051413432042,204.25,1.0,0.9356186389923096,,,,5.438167572021484,0.25159794092178345,0.24952588975429535,0.10000000149011612
9,sac,25.226175208942635,249.75,1.0,0.991722047328949,,,,4.26950740814209,1.6481503248214722,1.6498771905899048,0.10000000149011612
10,sac,21.784847943561623,225.0,1.0,0.9567763805389404,,,,5.395056247711182,0.024209296330809593,0.024018900468945503,0.10000000149011612
11,sac,7.3929052827109665,328.75,0.75,0.8898364305496216,,,,4.6884284019470215,0.35902857780456543,0.35441312193870544,0.10000000149011612
12,sac,7.720390789009999,215.25,0.75,0.9553787112236023,,,,4.511868000030518,0.13703656196594238,0.1353071928024292,0.10000000149011612
13,sac,7.349999518543473,342.25,0.75,0.9653290510177612,,,,4.857284069061279,0.025512173771858215,0.024862991645932198,0.10000000149011612
14,sac,15.712491445442833,286.75,1.0,0.9085827469825745,,,,5.414923667907715,0.14631924033164978,0.14776600897312164,0.10000000149011612
15,sac,7.71311866089,343.0,0.75,0.9883465766906738,,,,4.07713508605957,0.03972836583852768,0.04033936560153961,0.10000000149011612
