global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1393,348,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,11.197740716037249,165,1,1,0.32714634888244304,0,0,goal_reached
1394,348,flightroom_071353_q20,green_clock,green clock,23.11088466578681,301,1,1,0.3975971735815524,0,0,goal_reached
1395,348,flightroom_071353_q03,green_clock,green clock,16.047445106393006,138,1,1,0.38486689914770644,0,0,goal_reached
1396,348,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,31.36791547593041,275,1,1,0.4492529091714564,0,0,goal_reached
1397,349,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.37366969217997,181,1,1,0.467543502332292,0,0,goal_reached
1398,349,flightroom_071718_q70,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,29.64314674447266,306,1,1,0.45936741836967193,0,0,goal_reached
1399,349,flightroom_071718_q20,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-34.17931098169092,670,0,0,1.7501686444893347,0,0,timeout
1400,349,flightroom_071353_q01,green_clock,green clock,-1.8427888698541466,670,0,0,0.29922420784483716,0,0,timeout
1401,350,flightroom_071718_q20,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-39.87556879675243,670,0,0,2.0324155941513036,0,0,timeout
1402,350,flightroom_071718_q10,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,29.752984614239963,242,1,1,0.4479836632675221,0,0,goal_reached
1403,350,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.639778710758808,266,1,1,0.4840497134983131,0,0,goal_reached
1404,350,flightroom_071718_q70,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,28.743448522594882,276,1,1,0.4691408149432905,0,0,goal_reached
1405,351,flightroom_071353_q50,green_clock,green clock,17.29840065013518,146,1,1,0.4333957645967373,0,0,goal_reached
1406,351,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.57175773284083,200,1,1,0.3378777443634024,0,0,goal_reached
1407,351,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.421675187226207,220,1,1,0.4811085093432021,0,0,goal_reached
1408,351,flightroom_071353_q35,green_clock,green clock,18.473307415570474,272,1,1,0.3107281689349423,0,0,goal_reached
1409,352,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,11.325432091201842,195,1,1,0.4348588766272304,0,0,goal_reached
1410,352,flightroom_071353_q01,green_clock,green clock,28.403022893043737,323,1,1,0.3799070147885157,0,0,goal_reached
1411,352,flightroom_071353_q02,green_clock,green clock,15.765827560459162,175,1,1,0.2650156003926587,0,0,goal_reached
1412,352,flightroom_071718_q95,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,22.632525135656103,277,1,1,0.4461579067192504,0,0,goal_reached
1413,353,flightroom_071718_q50,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,10.803575731359839,102,1,1,0.46330827519708856,0,0,goal_reached
1414,353,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,20.566174826199727,186,1,1,0.40746528524986264,0,0,goal_reached
1415,353,flightroom_071353_q00,green_clock,green clock,33.18715254278431,257,1,1,0.3632711372289724,0,0,goal_reached
1416,353,flightroom_071353_q70,green_clock,green clock,20.718688451076808,489,1,1,0.41820428466569226,0,0,goal_reached
1417,354,flightroom_071718_q35,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-39.443094802263325,206,0,0,0.3445689365936134,0,1,collision
1418,354,flightroom_071353_q02,green_clock,green clock,15.952741671286764,168,1,1,0.2019054991725383,0,0,goal_reached
1419,354,flightroom_071353_q50,green_clock,green clock,18.39737382065265,159,1,1,0.31817041161280896,0,0,goal_reached
1420,354,flightroom_071353_q01,green_clock,green clock,29.739198749089432,336,1,1,0.38880884272386623,0,0,goal_reached
1421,355,flightroom_071718_q10,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,29.208361870417725,239,1,1,0.468381396641625,0,0,goal_reached
1422,355,flightroom_071353_q95,green_clock,green clock,24.198731650046398,194,1,1,0.3972447367519158,0,0,goal_reached
1423,355,flightroom_071353_q70,green_clock,green clock,-10.20820285005589,670,0,0,0.37147839748077405,0,0,timeout
1424,355,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.34118179423041,231,1,1,0.2533691698216119,0,0,goal_reached
1425,356,flightroom_071353_q03,green_clock,green clock,17.42206853324914,141,1,1,0.28083474056453134,0,0,goal_reached
