iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,sac,12.913618493238637,322.25,0.75,0.8855944275856018,,,,6.087750434875488,9.907153129577637,9.815653800964355,0.10000000149011612
1,sac,26.314866784977294,243.75,1.0,1.030553936958313,,,,5.368180274963379,0.16412211954593658,0.17027585208415985,0.10000000149011612
2,sac,10.176771952955564,208.75,0.75,0.9648880362510681,,,,4.79116678237915,0.16860604286193848,0.1529606282711029,0.10000000149011612
3,sac,20.55678471770169,356.25,0.75,0.9081466794013977,,,,6.344958305358887,0.033721912652254105,0.029602544382214546,0.10000000149011612
4,sac,26.144740048110222,318.25,1.0,0.8430868983268738,,,,4.733349800109863,0.2532620429992676,0.24812400341033936,0.10000000149011612
5,sac,10.66274052411832,215.25,0.75,0.8184757828712463,,,,3.8155782222747803,0.2573864459991455,0.2530808448791504,0.10000000149011612
6,sac,25.30209595557112,309.75,1.0,0.8435245156288147,,,,4.4176926612854,0.03518471494317055,0.03174822777509689,0.10000000149011612
7,sac,10.767990507298304,215.5,0.75,0.8512707352638245,,,,3.858757257461548,9.919666290283203,9.868086814880371,0.10000000149011612
8,sac,26.756919422022225,275.75,1.0,0.8701944947242737,,,,3.354483127593994,9.75448989868164,9.718975067138672,0.10000000149011612
9,sac,27.230808429965126,295.75,1.0,0.8856673836708069,,,,3.58028244972229,9.488241195678711,9.437553405761719,0.10000000149011612
10,sac,14.014268974897847,287.5,0.75,0.8992670774459839,,,,3.9851651191711426,0.03587907552719116,0.039804957807064056,0.10000000149011612
11,sac,14.940418858071709,299.75,0.75,0.8565278053283691,,,,3.2671334743499756,0.14211364090442657,0.14518241584300995,0.10000000149011612
12,sac,27.35453343257623,291.5,1.0,0.8524255156517029,,,,3.766420841217041,0.03860936313867569,0.041600849479436874,0.10000000149011612
13,sac,26.292445757563616,292.5,1.0,0.8110934495925903,,,,3.1535565853118896,0.028326209634542465,0.02953338995575905,0.10000000149011612
14,sac,4.858455416266229,336.0,0.5,0.859129011631012,,,,3.9445137977600098,0.13690292835235596,0.13584332168102264,0.10000000149011612
15,sac,26.270634178796627,315.75,1.0,0.8480053544044495,,,,3.8858795166015625,0.033126361668109894,0.033052220940589905,0.10000000149011612
16,sac,11.10312351246915,222.0,0.75,0.8696781992912292,,,,4.719360828399658,0.13655255734920502,0.13604411482810974,0.10000000149011612
17,sac,-2.4921506764476513,218.75,0.5,0.8551011681556702,,,,3.992983818054199,9.730327606201172,9.756926536560059,0.10000000149011612
18,sac,14.574922779505883,273.5,0.75,0.8549520969390869,,,,3.8865175247192383,0.030090615153312683,0.029736388474702835,0.10000000149011612
19,sac,29.13752460930037,337.25,1.0,0.8832291960716248,,,,3.660590648651123,0.027927830815315247,0.027552945539355278,0.10000000149011612
