global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
64,15,flightroom_071353_q02,green_clock,green clock,13.37135716642215,129,1,1,0.38661182855728343,0,0,goal_reached
65,16,flightroom_071353_q02,green_clock,green clock,15.325102500165716,164,1,1,0.3592803952059698,0,0,goal_reached
66,16,flightroom_071353_q03,green_clock,green clock,16.09061622324626,126,1,1,0.28125218421435816,0,0,goal_reached
67,16,flightroom_071353_q00,green_clock,green clock,29.78587150483925,239,1,1,0.44235204026346325,0,0,goal_reached
68,16,flightroom_071353_q01,green_clock,green clock,23.32379319063302,314,1,1,0.2879693684680732,0,0,goal_reached
69,17,flightroom_071353_q03,green_clock,green clock,16.385404021661667,132,1,1,0.27150011434241,0,0,goal_reached
70,17,flightroom_071353_q00,green_clock,green clock,31.788301548761755,244,1,1,0.18190028401205677,0,0,goal_reached
71,17,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,31.623170880882856,265,1,1,0.45714280649412453,0,0,goal_reached
72,17,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-47.26942385041288,30,0,0,1.2646998503154028,0,1,collision
73,18,flightroom_071353_q00,green_clock,green clock,32.646912287876376,246,1,1,0.1545692980389049,0,0,goal_reached
74,18,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,15.87038203451668,210,1,1,0.38451318682711977,0,0,goal_reached
75,18,flightroom_071353_q03,green_clock,green clock,17.303435731962868,140,1,1,0.21505328239408503,0,0,goal_reached
76,18,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.423709037252905,267,1,1,0.35404282155454636,0,0,goal_reached
77,19,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,28.060362518536465,267,1,1,0.39883578588614094,0,0,goal_reached
78,19,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,14.784698437398212,218,1,1,0.23999970439169685,0,0,goal_reached
79,19,flightroom_071353_q00,green_clock,green clock,34.99649262238056,273,1,1,0.24994506710426237,0,0,goal_reached
80,19,flightroom_071353_q02,green_clock,green clock,18.523393850904224,164,1,1,0.1626601053528909,0,0,goal_reached
